id,season,type,distance,timezone,date,weather,status,competition.id,competition.name,competition.location.country,competition.location.city,circuit.id,circuit.name,circuit.image,laps.current,laps.total,fastest_lap.driver.id,fastest_lap.time
2331,2025,1st Practice,,utc,2025-03-14T01:30:00+00:00,,Completed,1,Australia Grand Prix,Australia,Melbourne,1,Albert Park Circuit,https://media.api-sports.io/formula-1/circuits/1.png,,,,
2332,2025,2nd Practice,,utc,2025-03-14T05:00:00+00:00,,Completed,1,Australia Grand Prix,Australia,Melbourne,1,Albert Park Circuit,https://media.api-sports.io/formula-1/circuits/1.png,,,,
2333,2025,3rd Practice,,utc,2025-03-15T01:30:00+00:00,,Completed,1,Australia Grand Prix,Australia,Melbourne,1,Albert Park Circuit,https://media.api-sports.io/formula-1/circuits/1.png,,,,
2334,2025,1st Qualifying,,utc,2025-03-15T05:00:00+00:00,,Completed,1,Australia Grand Prix,Australia,Melbourne,1,Albert Park Circuit,https://media.api-sports.io/formula-1/circuits/1.png,,,,
2335,2025,2nd Qualifying,,utc,2025-03-15T05:22:00+00:00,,Completed,1,Australia Grand Prix,Australia,Melbourne,1,Albert Park Circuit,https://media.api-sports.io/formula-1/circuits/1.png,,,,
2336,2025,3rd Qualifying,,utc,2025-03-15T05:42:00+00:00,,Completed,1,Australia Grand Prix,Australia,Melbourne,1,Albert Park Circuit,https://media.api-sports.io/formula-1/circuits/1.png,,,,
2337,2025,Race,306.1 Kms,utc,2025-03-16T04:15:00+00:00,,Completed,1,Australia Grand Prix,Australia,Melbourne,1,Albert Park Circuit,https://media.api-sports.io/formula-1/circuits/1.png,,57.0,49.0,1:22.167
2338,2025,1st Practice,,utc,2025-03-21T03:30:00+00:00,,Completed,4,China Grand Prix,China,Anting,4,Shanghai International Circuit,https://media.api-sports.io/formula-1/circuits/4.png,,,,
2339,2025,1st Sprint Shootout,,utc,2025-03-21T07:30:00+00:00,,Completed,4,China Grand Prix,China,Anting,4,Shanghai International Circuit,https://media.api-sports.io/formula-1/circuits/4.png,,,,
2340,2025,2nd Sprint Shootout,,utc,2025-03-21T07:52:00+00:00,,Completed,4,China Grand Prix,China,Anting,4,Shanghai International Circuit,https://media.api-sports.io/formula-1/circuits/4.png,,,,
2341,2025,3rd Sprint Shootout,,utc,2025-03-21T08:12:00+00:00,,Completed,4,China Grand Prix,China,Anting,4,Shanghai International Circuit,https://media.api-sports.io/formula-1/circuits/4.png,,,,
2342,2025,Sprint,,utc,2025-03-22T03:00:00+00:00,,Completed,4,China Grand Prix,China,Anting,4,Shanghai International Circuit,https://media.api-sports.io/formula-1/circuits/4.png,,,,
2343,2025,1st Qualifying,,utc,2025-03-22T07:00:00+00:00,,Completed,4,China Grand Prix,China,Anting,4,Shanghai International Circuit,https://media.api-sports.io/formula-1/circuits/4.png,,,,
2344,2025,2nd Qualifying,,utc,2025-03-22T07:22:00+00:00,,Completed,4,China Grand Prix,China,Anting,4,Shanghai International Circuit,https://media.api-sports.io/formula-1/circuits/4.png,,,,
2345,2025,3rd Qualifying,,utc,2025-03-22T07:42:00+00:00,,Completed,4,China Grand Prix,China,Anting,4,Shanghai International Circuit,https://media.api-sports.io/formula-1/circuits/4.png,,,,
2346,2025,Race,305.1 Kms,utc,2025-03-23T07:00:00+00:00,,Completed,4,China Grand Prix,China,Anting,4,Shanghai International Circuit,https://media.api-sports.io/formula-1/circuits/4.png,,56.0,20.0,1:35.069
2347,2025,1st Practice,,utc,2025-04-04T02:30:00+00:00,,Completed,19,Japan Grand Prix,Japan,Suzuka,19,Suzuka International Racing Course,https://media.api-sports.io/formula-1/circuits/19.png,,,,
2348,2025,2nd Practice,,utc,2025-04-04T06:00:00+00:00,,Completed,19,Japan Grand Prix,Japan,Suzuka,19,Suzuka International Racing Course,https://media.api-sports.io/formula-1/circuits/19.png,,,,
2349,2025,3rd Practice,,utc,2025-04-05T02:30:00+00:00,,Completed,19,Japan Grand Prix,Japan,Suzuka,19,Suzuka International Racing Course,https://media.api-sports.io/formula-1/circuits/19.png,,,,
2350,2025,1st Qualifying,,utc,2025-04-05T06:00:00+00:00,,Completed,19,Japan Grand Prix,Japan,Suzuka,19,Suzuka International Racing Course,https://media.api-sports.io/formula-1/circuits/19.png,,,,
